person_id,spouse_id,marriage_id,union_status,m_number,is_old_style,m_day,m_month,m_year,church_id,place_id,m_admin_division,m_civil_place_details,m_civil_place_address,date_sort
30636,30637,M_30636,,1,,,,,,,,,,
30637,30636,M_30637,,1,,,,,,,,,,
30656,30657,M_30656,,1,,,,,,,,,,
30657,30656,M_30657,,1,,,,,,,,,,
30658,30659,M_30658,,1,,,,,,,,,,
30659,30658,M_30659,,1,,,,,,,,,,
30728,30729,M_30728,,1,,,,,,,,,,
30729,30728,M_30729,,1,,,,,,,,,,
30732,30733,M_30732,,1,,,,,,,,,,
30733,30732,M_30733,,1,,,,,,,,,,
30736,30737,M_30736,,1,,,,,,,,,,
30737,30736,M_30737,,1,,,,,,,,,,
30740,30741,M_30740,,1,,,,,,,,,,
30741,30740,M_30741,,1,,,,,,,,,,
30744,30745,M_30744,,1,,,,,,,,,,
30745,30744,M_30745,,1,,,,,,,,,,
30784,30785,M_30784,,1,,,,,,,,,,
30785,30784,M_30785,,1,,,,,,,,,,
30920,30921,M_30920,,1,,,,,,,,,,
30921,,M_30921_1,,1,,,,,,,,,,
30921,30920,M_30921_2,,2,,,,1614,,,,,,1614-00-00
30922,30923,M_30922,,1,,,,,,,,,,
30923,30922,M_30923,,1,,,,,,,,,,
30944,30945,M_30944,,1,,,,,,,,,,
30945,30944,M_30945,,1,,,,,,,,,,
31036,31037,M_31036,,1,,,,,,,,,,
31037,,M_31037_1,,1,,,,,,,,,,
31037,31036,M_31037_2,,2,,,,,,,,,,
31120,31121,M_31120,,1,,,,,,,,,,
31121,31120,M_31121,,1,,,,,,,,,,
31168,31169,M_31168,,1,,,,,,,,,,
31169,31168,M_31169,,1,,,,,,,,,,
31172,31173,M_31172,,1,,,,,,,,,,
31173,31172,M_31173,,1,,,,,,,,,,
31264,31265,M_31264,,1,,,,1516,,,,,,1516-00-00
31265,31264,M_31265,,1,,,,,,,,,,
31616,31617,M_31616,,1,,,,,,,,,,
31617,31616,M_31617,,1,,,,,,,,,,
32132,,M_32132_1,,1,,,,,,,,,,
32132,,M_32132_2,,2,,,,,,,,,,
32160,32161,M_32160,,1,,,,,,,,,,
32161,32160,M_32161,,1,,,,,,,,,,
32256,32257,M_32256,,1,,,,,,,,,,
32257,32256,M_32257,,1,,,,,,,,,,
32288,32289,M_32288,,1,,,,,,,,,,
32289,32288,M_32289,,1,,,,,,,,,,
32440,32441,M_32440,,1,,,,,,,,,,
32441,32440,M_32441,,1,,,,,,,,,,
32576,32577,M_32576_32577,,,,,,,,,,,,
32577,32576,M_32577_32576,,,,,,,,,,,,
32582,32583,M_32582,,1,,,,,,,,,,
32583,32582,M_32583,,1,,,,,,,,,,
32588,32589,M_32588_32589,,,,,,,,,,,,
32589,32588,M_32589_32588,,,,,,,,,,,,
32590,32591,M_32590_32591,,,,,,,,,,,,
32591,32590,M_32591_32590,,,,,,,,,,,,
32704,32705,M_32704_32705,,,,,,,,,,,,
32705,32704,M_32705_32704,,,,,,,,,,,,
58624,58625,M_58624_58625,,,,,,,,,,,,
58625,58624,M_58625_58624,,,,,,,,,,,,
58640,58641,M_58640_58641,,,,,,,,,,,,
58641,58640,M_58641_58640,,,,,,,,,,,,
58656,58657,M_58656_58657,,,,,,,,,,,,
58657,58656,M_58657_58656,,,,,,,,,,,,
58752,58753,M_58752_58753,,,,,,,,,,,,
58753,58752,M_58753_58752,,,,,,,,,,,,
58762,58763,M_58762_58763,,,,,,,,,,,,
58763,58762,M_58763_58762,,,,,,,,,,,,
58764,58765,M_58764_58765,,,,,,,,,,,,
58765,58764,M_58765_58764,,,,,,,,,,,,
58768,58769,M_58768_58769,,,,,,,,,,,,
58769,58768,M_58769_58768,,,,,,,,,,,,
58772,58773,M_58772_58773,,,,,,,,,,,,
58773,58772,M_58773_58772,,,,,,,,,,,,
58848,58849,M_58848_58849,,,,,,,,,,,,
58849,58848,M_58849_58848,,,,,,,,,,,,
58852,58853,M_58852_58853,,,,,,,,,,,,
58853,58852,M_58853_58852,,,,,,,,,,,,
60482,60483,M_60482,,1,,,,,,,,,,
60483,60482,M_60483,,1,,,,,,,,,,
60952,60953,M_60952,,1,,,,,,,,,,
60953,60952,M_60953,,1,,,,,,,,,,
61012,61013,M_61012,,1,,,,,,,,,,
61013,61012,M_61013,,1,,,,,,,,,,
61042,61043,M_61042,,1,,,,1542,,,,,,1542-00-00
61043,61042,M_61043,,1,,,,,,,,,,
61204,61205,M_61204,,1,,,,,,,,,,
61205,61204,M_61205,,1,,,,,,,,,,
61272,61273,M_61272,,1,,,,,,,,,,
61273,61272,M_61273,,1,,,,,,,,,,
61312,61313,M_61312,,1,,,,,,,,,,
61313,61312,M_61313,,1,,,,,,,,,,
61314,61315,M_61314,,1,,,,,,,,,,
61315,61314,M_61315,,1,,,,,,,,,,
61316,61317,M_61316,,1,,,,,,,,,,
61317,61316,M_61317,,1,,,,,,,,,,
61464,61465,M_61464,,1,,,,,,,,,,
61465,61464,M_61465,,1,,,,,,,,,,
61466,61467,M_61466,,1,,,,,,,,,,
61467,61466,M_61467,,1,,,,,,,,,,
61480,61481,M_61480,,1,,,,1531,,,,,,1531-00-00
61481,61480,M_61481,,1,,,,,,,,,,
61484,61485,M_61484,,1,,,,,,,,,,
61485,61484,M_61485,,1,,,,,,,,,,
61490,61491,M_61490,,1,,,,1537,,,,,,1537-00-00
61491,61490,M_61491,,1,,,,,,,,,,
61568,61569,M_61568,,1,,,,,,,,,,
61569,61568,M_61569,,1,,,,,,,,,,
61840,61841,M_61840,,1,,,,,,,,,,
61841,61840,M_61841,,1,,,,,,,,,,
61842,61843,M_61842,,1,,,,,,,,,,
61843,61842,M_61843_1,,1,,,,,,,,,,
61843,,M_61843_2,,2,,,,,,,,,,
61843,,M_61843_3,,3,,,,,,,,,,
61888,61889,M_61888,,1,,,,,,,,,,
61889,61888,M_61889,,1,,,,,,,,,,
61984,61985,M_61984,,1,,,,,,,,,,
61985,61984,M_61985,,1,,,,,,,,,,
62074,62075,M_62074,,1,,,,,,,,,,
62075,62074,M_62075,,1,,,,,,,,,,
