person_id,parents_bio,parents_step,parents_adopted,spouses
64 004,,,,
64 005,128010;128011,,,
64 096,128192;,,,
75 776,151552;,,,
76 032,,,,
76 800,,,,
76 808,,,,76809
76 809,,,,76808
76 814,153628;,,,
76 898,153796;,,,76899
76 899,153798;153799,,,76898
76 928,77600;77601,,,76929
76 929,,,,76928
76 930,153860;153861,,,76931
76 931,,,,76930
77 572,,,,
77 600,155200;,,,77601
77 601,155202;155203,,,77600
77 602,,,,77603
77 603,155206;155207,,,77602
94 884,189768;,,,
95 128,,,,
96 424,192848;,,,30721
96 425,,,,
96 896,,,,
98 520,,,,
98 639,,,,
101 514,203028;,,,101515
101 515,,,,101514
101 522,30720;30721,,,101523
101 523,203046;,,,101522
101 530,,,,
101 534,203068;50757,,,
103 376,,,,
105 476,210952;,,,
105 478,,,,
122 880,,,,
128 010,,,,128011
128 011,,,,128010
128 192,,,,
151 552,303104;,,,
153 628,307256;,,,
153 796,,,,
153 798,307736;,,,153799
153 799,307738;307739,,,153798
153 860,307720;,,,153861
153 861,307722;307723,,,153860
155 200,310400;,,,
155 202,310404;,,,155203
155 203,,,,155202
155 206,310412;,,,155207
155 207,,,,155206
189 768,379536;,,,
192 848,,,,
203 028,,,,
203 046,52732;,,,
203 068,406136;406137,,,50757
210 952,,,,
303 104,606208;,,,
307 256,614512;,,,
307 720,,,,
307 722,615444;615445,,,307723
307 723,615446;615447,,,307722
307 736,615472;,,,
307 738,615476;620477,,,307739
307 739,,,,307738
310 400,620800;620801,,,
310 404,,,,
310 412,,,,
379 536,,,,
406 136,,,,406137
406 137,,,,406136
606 208,1212416;,,,
614 512,1229024;,,,
615 444,1230888;,,,615445
615 445,,,,615444
615 446,1230892;,,,615447
615 447,1230894;,,,615446
615 472,1230944;,,,
615 476,,,,
620 477,,,,
620 800,1241600;1241601,,,620801
620 801,,,,620800
1 212 416,2424832;,,,
1 229 024,2458048;,,,
1 230 888,2461776;2461777,,,
1 230 892,2461784;,,,
1 230 894,,,,
1 230 944,2461888;,,,
1 241 600,,,,1241601
1 241 601,2483202;,,,1241600
2 424 832,4849664;,,,
2 458 048,4916096;,,,
2 461 776,4923552;,,,2461777
2 461 777,,,,2461776
2 461 784,4923568;,,,
2 461 888,4923776;4923777,,,
2 483 202,,,,
4 849 664,,,,
4 916 096,,,,
4 923 552,9847104;,,,
4 923 568,,,,
4 923 776,9847552;,,,4923777
4 923 777,,,,4923776
9 847 104,19694208;,,,
9 847 552,19695104;,,,
19 694 208,39388416;,,,
19 695 104,39716352;,,,
39 388 416,78776832;,,,
39 716 352,79432704;,,,
78 776 832,157553664;,,,
79 432 704,158865408;,,,
157 553 664,315107328;,,,
158 865 408,317730816;,,,
315 107 328,630214656;,,,
317 730 816,635461632;,,,
630 214 656,1260429312;,,,
635 461 632,,,,
1 260 429 312,2520858624;,,,
2 520 858 624,5041717248;,,,
5 041 717 248,10083434496;,,,
10 083 434 496,20166868992;20166868993,,,
20 166 868 992,40333737984;,,,20166868993
20 166 868 993,40333737986;,,,20166868992
40 333 737 984,80667475968;,,,
40 333 737 986,,,,
80 667 475 968,161334951936;,,,
161 334 951 936,322669903872;322669903873,,,
322 669 903 872,645339807744;,,,322669903873
322 669 903 873,,,,322669903872
645 339 807 744,,,,
